latitude,longitude,date_complete,date_end
44.89697,-1.03611,2026-07-22 14:49:00,2026-07-25 14:26:05
44.89782,-1.03115,2026-07-22 14:49:00,2026-07-25 14:26:05
44.89867,-1.02619,2026-07-22 14:49:00,2026-07-25 14:26:05
44.90112,-1.03227,2026-07-22 14:49:00,2026-07-25 14:26:05
44.90197,-1.02732,2026-07-22 14:49:00,2026-07-25 14:26:05
44.90282,-1.02237,2026-07-22 14:49:00,2026-07-25 14:26:05
44.86945,-1.06051,2026-07-22 17:14:00,2026-07-25 14:26:19
44.87111,-1.04663,2026-07-22 17:14:00,2026-07-25 14:26:19
44.87868,-1.06275,2026-07-22 17:14:00,2026-07-25 14:26:19
44.88036,-1.04885,2026-07-22 17:14:00,2026-07-25 14:26:19
44.88203,-1.03494,2026-07-22 17:14:00,2026-07-25 14:26:19
44.8837,-1.02102,2026-07-22 17:14:00,2026-07-25 14:26:19
44.88792,-1.06498,2026-07-22 17:14:00,2026-07-25 14:26:19
44.8896,-1.05108,2026-07-22 17:14:00,2026-07-25 14:26:19
44.89128,-1.03717,2026-07-22 17:14:00,2026-07-25 14:26:19
44.89296,-1.02325,2026-07-22 17:14:00,2026-07-25 14:26:19
44.89885,-1.05331,2026-07-22 17:14:00,2026-07-25 14:26:19
44.90053,-1.03939,2026-07-22 17:14:00,2026-07-25 14:26:19
44.90221,-1.02548,2026-07-22 17:14:00,2026-07-25 14:26:19
44.85111,-1.0593,2026-07-22 21:57:00,2026-07-25 14:26:19
44.85796,-1.08056,2026-07-22 21:57:00,2026-07-25 14:26:19
44.86125,-1.06319,2026-07-22 21:57:00,2026-07-25 14:26:19
44.86453,-1.04588,2026-07-22 21:57:00,2026-07-25 14:26:19
44.86811,-1.08447,2026-07-22 21:57:00,2026-07-25 14:26:19
44.8714,-1.0671,2026-07-22 21:57:00,2026-07-25 14:26:19
44.87467,-1.04977,2026-07-22 21:57:00,2026-07-25 14:26:19
44.87792,-1.03249,2026-07-22 21:57:00,2026-07-25 14:26:19
44.88154,-1.071,2026-07-22 21:57:00,2026-07-25 14:26:19
44.8848,-1.05367,2026-07-22 21:57:00,2026-07-25 14:26:19
44.88805,-1.03638,2026-07-22 21:57:00,2026-07-25 14:26:19
44.89044,-1.06216,2026-07-22 21:57:00,2026-07-25 14:26:19
44.89129,-1.01911,2026-07-22 21:57:00,2026-07-25 14:26:19
44.89376,-1.04491,2026-07-22 21:57:00,2026-07-25 14:26:19
44.89494,-1.05757,2026-07-22 21:57:00,2026-07-25 14:26:19
